id,name,popularity,matchType
1,reaction,18,BROAD
2,time,46,BROAD
3,game,65,BROAD
4,quick,43,BROAD
5,draw,56,BROAD
6,cowboy,35,BROAD
7,reflex,48,BROAD
8,test,39,BROAD
9,wild,46,BROAD
10,west,54,BROAD
11,gunfighter,5,BROAD
12,duel,37,BROAD
13,timing,16,BROAD
14,speed,47,BROAD
15,motion,49,BROAD
16,phone,62,BROAD
17,flick,30,BROAD
18,accelerometer,23,BROAD
19,western,34,BROAD
20,gunslinger,16,BROAD
21,outlaw,23,BROAD
22,sheriff,22,BROAD
23,showdown,23,BROAD
24,challenge,26,BROAD
25,reflexes,5,BROAD
26,fast,42,BROAD
27,hand-eye,5,BROAD
28,coordination,5,BROAD
29,millisecond,5,BROAD
30,precision,13,BROAD
31,sensor,18,BROAD
32,movement,24,BROAD
33,tilt,39,BROAD
34,gesture,16,BROAD
35,interactive,26,BROAD
36,skill,27,BROAD
37,arcade,48,BROAD
38,casual,31,BROAD
39,training,37,BROAD
40,benchmark,31,BROAD
41,fastest,21,BROAD
42,quickest,5,BROAD
43,lightning,44,BROAD
44,competitive,5,BROAD
45,2,44,BROAD
46,player,43,BROAD
47,standoff,42,BROAD
48,pvp,40,BROAD
49,as,37,BROAD
50,gun,55,BROAD
51,multiplayer,44,BROAD
52,global,36,BROAD
53,matchmaking,5,BROAD
54,head,30,BROAD
55,to,46,BROAD
56,face,55,BROAD
57,off,35,BROAD
58,friends,51,BROAD
59,party,39,BROAD
60,bragging,5,BROAD
61,rights,5,BROAD
62,leaderboards,5,BROAD
63,personal,31,BROAD
64,best,35,BROAD
65,practice,20,BROAD
66,mode,28,BROAD
67,gunman,5,BROAD
68,pistol,18,BROAD
69,fight,45,BROAD
70,bounty,32,BROAD
71,hunt,35,BROAD
72,midnight,18,BROAD
73,final,34,BROAD
74,ready,33,BROAD
75,steady,29,BROAD
76,bang,44,BROAD
77,3d,48,BROAD
78,shooting,47,BROAD
79,tap,49,BROAD
80,controls,5,BROAD
81,rapid,40,BROAD
82,fire,50,BROAD
83,detection,5,BROAD
84,holster,5,BROAD
85,lift,51,BROAD
86,and,27,BROAD
87,shoot,37,BROAD
88,wireless,24,BROAD
89,accuracy,5,BROAD
90,gaming,35,BROAD
91,testing,16,BROAD
92,drink,33,BROAD
93,drinking game,5,BROAD
94,parents,20,BROAD
95,kids,51,BROAD